instance_type,instance_seed,m,q,horizon,utility,method,evaluated_objective,exposure_entropy,covered_groups_tau_1.0,runtime_sec,planning_calls,objective_evaluations,initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy
allocation_scaling,3003,8,5,30,soft,OCG K=20,7.780633454662551,2.071422683980408,8,0.009381099953316152,20,20,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-15,0.0
allocation_scaling,3003,8,5,30,soft,OCG K=40,7.791762564695116,2.0748713337016658,8,0.01659989997278899,40,40,1.6653345369377348e-16,1.1102230246251565e-16,1.6653345369377348e-16,1.3322676295501878e-15,0.0
allocation_scaling,3003,8,5,30,soft,FW K=40,7.768450554880475,2.075451832743776,8,0.03891190001741052,40,1757,1.6653345369377348e-16,1.1102230246251565e-16,1.6653345369377348e-16,1.7763568394002505e-15,0.0
allocation_scaling,3003,8,5,30,log,Additive,7.498889532025187,0.9891982019774155,3,0.0004105999832972884,1,1,0.0,0.0,0.0,4.440892098500626e-16,0.0
allocation_scaling,3003,8,5,30,log,OCG K=20,12.600779423607044,2.0242627052631867,8,0.009106200013775378,20,20,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation_scaling,3003,8,5,30,log,OCG K=40,12.637964905213705,2.0269975346015454,8,0.016676299972459674,40,40,1.6653345369377348e-16,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-15,0.0
allocation_scaling,3003,8,5,30,log,FW K=40,12.60267512020197,2.0268357288657293,8,0.040700300014577806,40,1757,5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-15,0.0
allocation_scaling,3004,8,5,30,soft,Additive,3.9979708181199287,1.3323609803788732,4,0.0003964999923482537,1,1,0.0,0.0,0.0,1.1102230246251565e-15,0.0
allocation_scaling,3004,8,5,30,soft,OCG K=20,7.930311060863388,2.077743670555173,8,0.009381400013808161,20,20,5.551115123125783e-17,8.326672684688674e-17,8.326672684688674e-17,4.440892098500626e-16,0.0
allocation_scaling,3004,8,5,30,soft,OCG K=40,7.937082218914122,2.0787501388651397,8,0.016810400004033,40,40,1.1102230246251565e-16,8.326672684688674e-17,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation_scaling,3004,8,5,30,soft,FW K=40,7.929450951796195,2.079300755503308,8,0.038838100037537515,40,1757,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation_scaling,3004,8,5,30,log,Additive,9.626830944944704,1.3323609803788732,4,0.0004903000080958009,1,1,0.0,0.0,0.0,1.1102230246251565e-15,0.0
allocation_scaling,3004,8,5,30,log,OCG K=20,14.216303116121505,2.070129859646266,8,0.009631699998863041,20,20,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
allocation_scaling,3004,8,5,30,log,OCG K=40,14.238327581121883,2.072555385483087,8,0.018076800042763352,40,40,1.1102230246251565e-16,1.6653345369377348e-16,1.6653345369377348e-16,4.440892098500626e-16,0.0
allocation_scaling,3004,8,5,30,log,FW K=40,14.205179700627617,2.0738775156479923,8,0.03934990003472194,40,1757,5.551115123125783e-17,1.3877787807814457e-16,1.3877787807814457e-16,6.661338147750939e-16,0.0
allocation_scaling,3000,16,5,60,soft,Additive,2.9999999890740745,1.0475300118804927,3,0.001425200025551021,1,1,0.0,0.0,0.0,1.1102230246251565e-15,0.0
allocation_scaling,3000,16,5,60,soft,OCG K=20,15.81008876715449,2.7607389436268264,16,0.017759500013198704,20,20,1.3877787807814457e-17,1.3877787807814457e-16,1.3877787807814457e-16,1.5543122344752192e-15,0.0
allocation_scaling,3000,16,5,60,soft,OCG K=40,15.848409033052137,2.7699819031546506,16,0.03467860003001988,40,40,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.3322676295501878e-15,0.0
allocation_scaling,3000,16,5,60,soft,FW K=40,15.834752499530111,2.768694433029504,16,0.0909931999631226,40,1757,1.1102230246251565e-16,1.6653345369377348e-16,1.6653345369377348e-16,8.881784197001252e-16,0.0
