instance_type,instance_seed,utility,K,method,objective,reference_objective,relative_gap
gridworld,1009,log,10,FW,14.79750339027264,14.912204492476013,0.007691760280060922
gridworld,1009,log,20,FW,14.832998108731289,14.912204492476013,0.005311514054457064
gridworld,1009,log,40,FW,14.85668644970957,14.912204492476013,0.0037229936589492103
allocation,2000,soft,5,FW,7.889691228071462,7.929877339995003,0.0050676839250537835
allocation,2000,soft,10,FW,7.914584745285772,7.929877339995003,0.0019284780903358171
allocation,2000,soft,20,FW,7.921597078052204,7.929877339995003,0.0010441853748527578
allocation,2000,soft,40,FW,7.923008740590356,7.929877339995003,0.0008661671688166375
allocation,2000,log,5,FW,14.03281852798288,14.124485535721034,0.0064899360409500974
allocation,2000,log,10,FW,14.051334293224738,14.124485535721034,0.005179037658489971
allocation,2000,log,20,FW,14.068531464879309,14.124485535721034,0.0039614944346267715
allocation,2000,log,40,FW,14.08660283612396,14.124485535721034,0.0026820587200339046
allocation,2001,soft,5,FW,7.900224265874391,7.923025337611907,0.0028778239076525753
allocation,2001,soft,10,FW,7.90780684817489,7.923025337611907,0.0019207927260780568
allocation,2001,soft,20,FW,7.910569073008672,7.923025337611907,0.0015721601373787897
allocation,2001,soft,40,FW,7.913106332974225,7.923025337611907,0.0012519213576908683
allocation,2001,log,5,FW,13.763754025864207,13.898033686079373,0.00966177397811774
allocation,2001,log,10,FW,13.800376427368404,13.898033686079373,0.007026696072033916
allocation,2001,log,20,FW,13.832206820928832,13.898033686079373,0.004736415714438425
allocation,2001,log,40,FW,13.853160951697562,13.898033686079373,0.0032287110101593694
allocation,2002,soft,5,FW,7.878605671731254,7.932195557199554,0.006755996505867781
allocation,2002,soft,10,FW,7.912571562912548,7.932195557199554,0.002473967534649889
allocation,2002,soft,20,FW,7.918406400093492,7.932195557199554,0.0017383783602696083
allocation,2002,soft,40,FW,7.921958146796761,7.932195557199554,0.001290614979039659
allocation,2002,log,5,FW,13.999200955403555,14.154423920492697,0.010966392271494024
allocation,2002,log,10,FW,14.036223141135668,14.154423920492697,0.008350801136166206
allocation,2002,log,20,FW,14.069044379669688,14.154423920492697,0.006032003937609718
allocation,2002,log,40,FW,14.104429757337488,14.154423920492697,0.0035320521298522825
allocation,2003,soft,5,FW,7.709907716896767,7.893621535112764,0.023273704901963323
allocation,2003,soft,10,FW,7.849592839150076,7.893621535112764,0.005577756137260684
allocation,2003,soft,20,FW,7.858077366876882,7.893621535112764,0.004502897444192471
allocation,2003,soft,40,FW,7.869172840441898,7.893621535112764,0.00309727221682879
allocation,2003,log,5,FW,13.46966711450543,13.73694085882348,0.01945656948405478
allocation,2003,log,10,FW,13.58878549984625,13.73694085882348,0.010785178483320635
allocation,2003,log,20,FW,13.634439911866773,13.73694085882348,0.007461701117455826
allocation,2003,log,40,FW,13.670684912616228,13.73694085882348,0.004823195126788042
allocation,2004,soft,5,FW,7.850231661459581,7.920479678260709,0.008869161926383979
allocation,2004,soft,10,FW,7.896760211629491,7.920479678260709,0.002994700775045305
allocation,2004,soft,20,FW,7.902706414240284,7.920479678260709,0.002243963085873105
