initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy,utility,solver,requested_solver,solver_fallback_from,solver_status,solver_objective,evaluated_objective,wall_time_sec,solver_time_sec,solver_num_iters,variable_count,constraint_count,horizon,state_count,action_count,target_count,enforce_layer_mass,objective_discrepancy,accepted_status,accepted_residuals,accepted,instance_type,instance_seed,method,reference_objective,reference_ratio,relative_gap,planning_calls,q,m
4.440892098500626e-16,1.1102230246251565e-15,1.1102230246251565e-15,8.881784197001252e-16,0.0,soft,,,,not_applicable,,10.625783718785318,,,,,,,,,,,,,,,gridworld,1006,OCG K=40,10.645854141098454,0.9981147193971357,0.0018852806028643518,40.0,,
0.0,0.0,0.0,1.1102230246251565e-15,0.0,soft,,,,not_applicable,,5.472831680156269,,,,,,,,,,,,,,,gridworld,1006,Nearest-target,10.645854141098454,0.5140810316974318,0.48591896830256825,0.0,,
0.0,0.0,0.0,4.440892098500626e-16,0.0,soft,,,,not_applicable,,4.42241743503855,,,,,,,,,,,,,,,gridworld,1006,Marginal,10.645854141098454,0.4154121760851252,0.5845878239148747,6.0,,
4.109069216514881e-09,4.5377257069738846e-09,4.5377257069738846e-09,2.0705912562313245e-07,0.0,log,CLARABEL,CLARABEL,,optimal,14.490847254306034,14.490847254306042,0.8904100999934599,0.7031069,29.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,7.105427357601002e-15,True,True,True,gridworld,1006,Direct-CVX,14.490847254306042,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,8.881784197001252e-16,0.0,log,,,,not_applicable,,5.726501549612213,,,,,,,,,,,,,,,gridworld,1006,Random,14.490847254306042,0.39518058876167844,0.6048194112383215,0.0,,
0.0,0.0,0.0,3.3306690738754696e-16,0.0,log,,,,not_applicable,,9.168018986522581,,,,,,,,,,,,,,,gridworld,1006,Additive,14.490847254306042,0.6326765319949287,0.3673234680050713,1.0,,
4.440892098500626e-16,1.1102230246251565e-15,1.1102230246251565e-15,8.881784197001252e-16,0.0,log,,,,not_applicable,,14.477720797858854,,,,,,,,,,,,,,,gridworld,1006,OCG K=40,14.490847254306042,0.9990941553508346,0.0009058446491654755,40.0,,
2.780367216173138e-09,2.603640747445013e-09,2.780367216173138e-09,9.94744624449595e-08,0.0,soft,CLARABEL,CLARABEL,,optimal,10.590754303871792,10.5907543038718,1.007557499979157,0.8232697,34.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,7.105427357601002e-15,True,True,True,gridworld,1007,Direct-CVX,10.5907543038718,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,6.661338147750939e-16,0.0,soft,,,,not_applicable,,3.1307729812500327,,,,,,,,,,,,,,,gridworld,1007,Random,10.5907543038718,0.29561378646141145,0.7043862135385885,0.0,,
0.0,0.0,0.0,7.771561172376096e-16,0.0,soft,,,,not_applicable,,7.629164032714126,,,,,,,,,,,,,,,gridworld,1007,Additive,10.5907543038718,0.7203607801500063,0.27963921984999374,1.0,,
4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,0.0,soft,,,,not_applicable,,10.561673462018536,,,,,,,,,,,,,,,gridworld,1007,OCG K=40,10.5907543038718,0.9972541293076139,0.002745870692386059,40.0,,
0.0,0.0,0.0,1.3322676295501878e-15,0.0,soft,,,,not_applicable,,5.928181825737898,,,,,,,,,,,,,,,gridworld,1007,Nearest-target,10.5907543038718,0.5597506707875053,0.4402493292124947,0.0,,
0.0,0.0,0.0,6.661338147750939e-16,0.0,soft,,,,not_applicable,,4.101990570370167,,,,,,,,,,,,,,,gridworld,1007,Marginal,10.5907543038718,0.3873180750563299,0.61268192494367,6.0,,
5.031104187276618e-09,5.009147208134834e-09,5.031104187276618e-09,1.931000006560879e-07,0.0,log,CLARABEL,CLARABEL,,optimal,13.914836256472885,13.914836256472883,1.0627064000000246,0.8793362,37.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,1.7763568394002505e-15,True,True,True,gridworld,1007,Direct-CVX,13.914836256472883,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,6.661338147750939e-16,0.0,log,,,,not_applicable,,5.749767303125648,,,,,,,,,,,,,,,gridworld,1007,Random,13.914836256472883,0.41321128018671294,0.586788719813287,0.0,,
0.0,0.0,0.0,7.771561172376096e-16,0.0,log,,,,not_applicable,,11.949857773860161,,,,,,,,,,,,,,,gridworld,1007,Additive,13.914836256472883,0.858785367905522,0.141214632094478,1.0,,
4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,0.0,log,,,,not_applicable,,13.893550425052172,,,,,,,,,,,,,,,gridworld,1007,OCG K=40,13.914836256472883,0.998470277980396,0.0015297220196040043,40.0,,
1.6511670909983243e-09,1.9600511075301696e-09,1.9600511075301696e-09,6.926066786760998e-08,0.0,soft,CLARABEL,CLARABEL,,optimal,10.418470337175624,10.418470337175622,0.8935154000064358,0.7012761,30.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,1.7763568394002505e-15,True,True,True,gridworld,1008,Direct-CVX,10.418470337175622,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,4.440892098500626e-16,0.0,soft,,,,not_applicable,,3.152921261796121,,,,,,,,,,,,,,,gridworld,1008,Random,10.418470337175622,0.3026280403703541,0.6973719596296459,0.0,,
0.0,0.0,0.0,1.1102230246251565e-16,0.0,soft,,,,not_applicable,,2.0207103853288215,,,,,,,,,,,,,,,gridworld,1008,Additive,10.418470337175622,0.1939546132908243,0.8060453867091758,1.0,,
4.440892098500626e-16,2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,soft,,,,not_applicable,,10.377898575033383,,,,,,,,,,,,,,,gridworld,1008,OCG K=40,10.418470337175622,0.9961057851268752,0.0038942148731248146,40.0,,
0.0,0.0,0.0,6.661338147750939e-16,0.0,soft,,,,not_applicable,,5.99483158496604,,,,,,,,,,,,,,,gridworld,1008,Nearest-target,10.418470337175622,0.5754041995565348,0.42459580044346523,0.0,,
0.0,0.0,0.0,7.771561172376096e-16,0.0,soft,,,,not_applicable,,5.344601390146574,,,,,,,,,,,,,,,gridworld,1008,Marginal,10.418470337175622,0.5129929075169263,0.4870070924830737,6.0,,
2.1289015767695056e-09,2.440755694776975e-09,2.440755694776975e-09,8.949585739159716e-08,0.0,log,CLARABEL,CLARABEL,,optimal,13.538735307398749,13.538735307398754,0.8171793999499641,0.624069,27.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,5.329070518200751e-15,True,True,True,gridworld,1008,Direct-CVX,13.538735307398754,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,4.440892098500626e-16,0.0,log,,,,not_applicable,,5.875766471719916,,,,,,,,,,,,,,,gridworld,1008,Random,13.538735307398754,0.4339967019304145,0.5660032980695855,0.0,,
0.0,0.0,0.0,1.1102230246251565e-16,0.0,log,,,,not_applicable,,5.921135493904871,,,,,,,,,,,,,,,gridworld,1008,Additive,13.538735307398754,0.43734775512370366,0.5626522448762964,1.0,,
4.440892098500626e-16,2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,log,,,,not_applicable,,13.512853224384969,,,,,,,,,,,,,,,gridworld,1008,OCG K=40,13.538735307398754,0.9980882938896337,0.0019117061103662407,40.0,,
2.9162207015538033e-09,3.3642429603193743e-09,3.3642429603193743e-09,1.2268172078222506e-07,0.0,soft,CLARABEL,CLARABEL,,optimal,10.889471521253387,10.88947152125339,0.7702299000229686,0.5852738,26.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,1.7763568394002505e-15,True,True,True,gridworld,1009,Direct-CVX,10.88947152125339,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,8.881784197001252e-16,0.0,soft,,,,not_applicable,,3.508288506772096,,,,,,,,,,,,,,,gridworld,1009,Random,10.88947152125339,0.32217252232349736,0.6778274776765026,0.0,,
0.0,0.0,0.0,5.551115123125783e-16,0.0,soft,,,,not_applicable,,5.066484654264878,,,,,,,,,,,,,,,gridworld,1009,Additive,10.88947152125339,0.46526451209100733,0.5347354879089926,1.0,,
4.440892098500626e-16,9.992007221626409e-16,9.992007221626409e-16,8.881784197001252e-16,0.0,soft,,,,not_applicable,,10.869069413021162,,,,,,,,,,,,,,,gridworld,1009,OCG K=40,10.88947152125339,0.9981264372479043,0.001873562752095717,40.0,,
0.0,0.0,0.0,1.2212453270876722e-15,0.0,soft,,,,not_applicable,,6.425529368687768,,,,,,,,,,,,,,,gridworld,1009,Nearest-target,10.88947152125339,0.5900680630962506,0.40993193690374946,0.0,,
0.0,0.0,0.0,7.771561172376096e-16,0.0,soft,,,,not_applicable,,5.76273047376953,,,,,,,,,,,,,,,gridworld,1009,Marginal,10.88947152125339,0.5292020335901695,0.47079796640983057,6.0,,
3.919767810344525e-09,4.458179048150157e-09,4.458179048150157e-09,1.6848909090150244e-07,0.0,log,CLARABEL,CLARABEL,,optimal,14.912204492476004,14.912204492476013,0.8950557999778539,0.7018412,29.0,11040.0,24.0,24.0,92.0,5.0,12.0,False,8.881784197001252e-15,True,True,True,gridworld,1009,Direct-CVX,14.912204492476013,1.0,0.0,,,
0.0,5.551115123125783e-17,5.551115123125783e-17,8.881784197001252e-16,0.0,log,,,,not_applicable,,6.310678226075769,,,,,,,,,,,,,,,gridworld,1009,Random,14.912204492476013,0.4231888202217074,0.5768111797782925,0.0,,
0.0,0.0,0.0,5.551115123125783e-16,0.0,log,,,,not_applicable,,9.892485505012502,,,,,,,,,,,,,,,gridworld,1009,Additive,14.912204492476013,0.6633818299637574,0.33661817003624256,1.0,,
4.440892098500626e-16,1.1102230246251565e-15,1.1102230246251565e-15,8.881784197001252e-16,0.0,log,,,,not_applicable,,14.89033230359932,,,,,,,,,,,,,,,gridworld,1009,OCG K=40,14.912204492476013,0.9985332692501818,0.0014667307498182338,40.0,,
7.752095354529587e-10,9.039589077275423e-10,9.039589077275423e-10,1.793968973373694e-09,0.0,soft,SCS,CLARABEL,CLARABEL,optimal,7.929877339995003,7.929877339995003,0.1828142000013031,0.0214874,525.0,1200.0,30.0,30.0,5.0,8.0,8.0,False,0.0,True,True,True,allocation,2000,Direct-CVX,7.929877339995003,1.0,0.0,,5.0,8.0
0.0,0.0,0.0,8.881784197001252e-16,0.0040618055179429844,soft,,,,not_applicable,,7.641775261745531,,,,,,30.0,,,,,,,,,allocation,2000,Random,7.929877339995003,0.9636687850395359,0.036331214960464146,0.0,5.0,8.0
0.0,0.0,0.0,4.440892098500626e-16,0.0,soft,,,,not_applicable,,4.995615493853535,,,,,,30.0,,,,,,,,,allocation,2000,Myopic-effectiveness,7.929877339995003,0.6299738671439126,0.37002613285608743,0.0,5.0,8.0
0.0,0.0,0.0,4.440892098500626e-16,0.0,soft,,,,not_applicable,,4.995615493853535,,,,,,30.0,,,,,,,,,allocation,2000,Additive,7.929877339995003,0.6299738671439126,0.37002613285608743,1.0,5.0,8.0
