method,G(Phi d),covered_groups_tau_1.0,exposure_entropy,planning_calls,runtime_sec,instance_seed,utility
Marginal,4.325292880687712,4,1.3630322712349896,6,0.010525599995162338,2004,soft
OCG K=5,7.612959122288629,8,1.9477982786395813,5,0.006446900020819157,2004,soft
OCG K=10,7.888059617324965,8,2.074408989467793,10,0.015045300009660423,2004,soft
OCG K=20,7.907698685089569,8,2.0767483600506855,20,0.03447569999843836,2004,soft
OCG K=40,7.91692870512024,8,2.0785466755159345,40,0.06684210000094026,2004,soft
Random,7.79502304244556,8,2.076700078668451,0,0.0037607999984174967,2005,soft
Additive,4.9822552837632905,5,1.5632072485270805,1,0.0010417000157758594,2005,soft
Myopic-effectiveness,4.9822552837632905,5,1.5632072485270805,0,0.0005231000250205398,2005,soft
Marginal,2.999570497225489,3,1.0098110465293626,6,0.01032970001688227,2005,soft
OCG K=5,7.870258304115476,8,2.0527101529005813,5,0.007526799978222698,2005,soft
OCG K=10,7.920962591375336,8,2.0749433076385335,10,0.015764600015245378,2005,soft
OCG K=20,7.932109207226791,8,2.0788794005004743,20,0.04468940000515431,2005,soft
OCG K=40,7.937393428472268,8,2.079048930922901,40,0.07056239998200908,2005,soft
Random,7.685934122013826,8,2.0561028031737387,0,0.00882450002245605,2006,soft
Additive,4.99693474416485,5,1.5795785238771494,1,0.0012541000032797456,2006,soft
Myopic-effectiveness,3.9899132110930715,4,1.2645332566236298,0,0.0006133000133559108,2006,soft
Marginal,1.999999595652802,2,0.6900790405765687,6,0.010008000012021512,2006,soft
OCG K=5,7.758514569066589,8,2.0061312093979238,5,0.007831100025214255,2006,soft
OCG K=10,7.882201489098863,8,2.066700302388556,10,0.016815299983136356,2006,soft
OCG K=20,7.910691449924961,8,2.072507810596871,20,0.03353339998284355,2006,soft
OCG K=40,7.9203925379681115,8,2.0776092346013826,40,0.08240630000364035,2006,soft
Random,7.678896285448049,8,2.0596384572041275,0,0.009637400042265654,2007,soft
Additive,3.999137257483879,4,1.3481068961119047,1,0.0018896999536082149,2007,soft
Myopic-effectiveness,3.991657293511538,4,1.2709393588623668,0,0.0006195999449118972,2007,soft
Marginal,1.9999572805607162,2,0.5887965923326524,6,0.011300800018943846,2007,soft
OCG K=5,7.725932759191343,8,2.0390830656111643,5,0.005749800009652972,2007,soft
OCG K=10,7.848725702156989,8,2.0625752074067467,10,0.024709700024686754,2007,soft
OCG K=20,7.885375392191156,8,2.075477932042295,20,0.03245800000149757,2007,soft
OCG K=40,7.892769291125731,8,2.077808809310087,40,0.07352590002119541,2007,soft
Random,7.711990910195658,8,2.0716173351583635,0,0.006456599978264421,2008,soft
Additive,4.869437131448548,5,1.4930851096261146,1,0.0018980999593622983,2008,soft
Myopic-effectiveness,4.869437131448548,5,1.4930851096261146,0,0.0006200000061653554,2008,soft
Marginal,2.98973256721032,3,0.9093066384808843,6,0.0074213999905623496,2008,soft
OCG K=5,7.694159982738782,8,2.009526230537799,5,0.010087000031489879,2008,soft
OCG K=10,7.891113755190756,8,2.0762653438026217,10,0.0217498000129126,2008,soft
OCG K=20,7.922190503024779,8,2.0786315275009066,20,0.04632720001973212,2008,soft
OCG K=40,7.92484836225927,8,2.078453832356507,40,0.07590349996462464,2008,soft
Random,7.589661818677868,8,2.0708650266523767,0,0.00427010003477335,2009,soft
Additive,4.920702743345771,5,1.4638284461497713,1,0.0012209999840706587,2009,soft
Myopic-effectiveness,3.9313789052855683,4,1.1896519126176783,0,0.0006099999882280827,2009,soft
Marginal,2.9442997757290446,3,0.8832400888350547,6,0.01174180000089109,2009,soft
OCG K=5,7.807735446551023,8,2.051641228574128,5,0.008944900007918477,2009,soft
OCG K=10,7.872966256280673,8,2.066586836722206,10,0.015840899955946952,2009,soft
OCG K=20,7.907111849112315,8,2.0782090574721184,20,0.03563269996084273,2009,soft
OCG K=40,7.913592407391965,8,2.0784184328479793,40,0.08271239994792268,2009,soft
