instance_type,instance_seed,utility,method,K,evaluated_objective,history_min_delta,runtime_sec,planning_calls,objective_evaluations,line_search_tolerance,initial_distribution_residual,flow_residual,max_flow_residual,layer_mass_error,min_occupancy
gridworld,1005,soft,FW K=5,5,9.714264171055325,0.22493215031649072,0.03925679996609688,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1005,soft,FW K=10,10,10.213145862403964,0.011080106731506945,0.07043719995999709,10,407,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,7.771561172376096e-16,0.0
gridworld,1005,soft,FW K=20,20,10.321262608340934,0.004683340463554231,0.13136679999297485,20,857,1e-08,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,7.771561172376096e-16,0.0
gridworld,1005,soft,FW K=40,40,10.39192581980715,0.0008232841681401482,0.25583480001660064,40,1757,1e-08,0.0,4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16,0.0
gridworld,1005,log,FW K=5,5,12.745234300268645,0.17286294526984847,0.02840509999077767,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1005,log,FW K=10,10,13.164255618745763,0.02719591334621363,0.06297490000724792,10,407,1e-08,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1005,log,FW K=20,20,13.351293288434134,0.001335939422849819,0.12234930001432076,20,857,1e-08,0.0,4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16,0.0
gridworld,1005,log,FW K=40,40,13.445225642446776,0.0010844628712938231,0.2556925999815576,40,1757,1e-08,0.0,4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16,0.0
gridworld,1006,soft,FW K=5,5,9.794703019810875,0.4013807466763435,0.029106399975717068,5,182,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,0.0
gridworld,1006,soft,FW K=10,10,10.538287456564051,0.01584870434035679,0.06221829995047301,10,407,1e-08,0.0,1.1102230246251565e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0
gridworld,1006,soft,FW K=20,20,10.582712791537809,0.0008849831560020505,0.12381089996779338,20,857,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16,0.0
gridworld,1006,soft,FW K=40,40,10.597583918745404,0.00022669894759452802,0.25036720000207424,40,1757,1e-08,0.0,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-15,0.0
gridworld,1006,log,FW K=5,5,14.173755699400028,0.3291798618514612,0.02940840000519529,5,182,1e-08,0.0,1.6653345369377348e-16,1.6653345369377348e-16,5.551115123125783e-16,0.0
gridworld,1006,log,FW K=10,10,14.439664854386711,0.0029168591345118955,0.0594035999965854,10,407,1e-08,0.0,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-16,0.0
gridworld,1006,log,FW K=20,20,14.458751459179448,0.0005535596594743453,0.12560169998323545,20,857,1e-08,0.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.0
gridworld,1006,log,FW K=40,40,14.47002833779112,0.00011894396124745299,0.26422830001683906,40,1757,1e-08,0.0,6.661338147750939e-16,6.661338147750939e-16,6.661338147750939e-16,0.0
